Renda per capita
Sigla,Código,Município,1991,2000,
BA,2910206,Dom Macedo Costa,50.536,89.83,
BA,2910305,Elísio Medrado,64.586,102.262,
BA,2910404,Encruzilhada,58.053,80.233,
BA,2910503,Entre Rios,69.044,109.662,
BA,2910602,Esplanada,81.609,83.195,
BA,2910701,Euclides da Cunha,50.945,79.045,
BA,2910727,Eunápolis,120.169,195.876,
BA,2910750,Fátima,45.677,84.638,
BA,2910776,Feira da Mata,82.718,76.483,
BA,2910800,Feira de Santana,161.915,206.986,
BA,2910859,Filadélfia,46.615,54.576,
BA,2910909,Firmino Alves,75.758,96.738,
BA,2911006,Floresta Azul,60.066,88.241,
BA,2911105,Formosa do Rio Preto,106.843,117.515,
BA,2911204,Gandu,131.267,150.187,
BA,2911253,Gavião,82.253,78.566,
BA,2911303,Gentio do Ouro,90.867,58.393,
BA,2911402,Glória,61.087,78.572,
BA,2911501,Gongogi,44.847,60.932,
BA,2911600,Governador Mangabeira,53.749,94.942,
BA,2911659,Guajeru,62.842,84.512,
BA,2911709,Guanambi,105.55,152.913,
BA,2911808,Guaratinga,87.754,80.949,
BA,2911857,Heliópolis,47.73,76.918,
BA,2911907,Iaçu,56.4,87.527,
BA,2912004,Ibiassucê,74.399,104.316,
BA,2912103,Ibicaraí,71.894,106.799,
BA,2912202,Ibicoara,47.228,120.375,
BA,2912301,Ibicuí,87.894,114.623,
BA,2912400,Ibipeba,66.416,85.362,
BA,2912509,Ibipitanga,62,90.101,
BA,2912608,Ibiquera,51.812,70.942,
BA,2912707,Ibirapitanga,49.568,70.515,
BA,2912806,Ibirapuã,75.59,119.902,
BA,2912905,Ibirataia,72.836,93.6,
BA,2913002,Ibitiara,49.19,81.514,
BA,2913101,Ibititá,64.156,84.35,
BA,2913200,Ibotirama,73.287,141.345,
BA,2913309,Ichu,58.773,97.426,
BA,2913408,Igaporã,57.857,99.863,
BA,2913457,Igrapiúna,55.675,63.846,
BA,2913507,Iguaí,66.64,88.654,
BA,2913606,Ilhéus,104.62,170.219,
BA,2913705,Inhambupe,57.146,78.804,
BA,2913804,Ipecaetá,54.679,68.064,
BA,2913903,Ipiaú,114.172,135.227,
BA,2914000,Ipirá,67.039,90.204,
BA,2914109,Ipupiara,60.88,88.282,
BA,2914208,Irajuba,49.363,73.53,
BA,2914307,Iramaia,46.122,68.027,
BA,2914406,Iraquara,50.132,71.513,
BA,2914505,Irará,60.062,94.473,
BA,2914604,Irecê,122.414,157.619,
BA,2914653,Itabela,74.952,101.022,
BA,2914703,Itaberaba,81.111,122.095,
BA,2914802,Itabuna,166.392,207.403,
BA,2914901,Itacaré,79.381,84.695,
BA,2915007,Itaeté,44.609,60.327,
BA,2915106,Itagi,50.785,86.818,
BA,2915205,Itagibá,53.929,75.357,
BA,2915304,Itagimirim,84.626,136.899,
BA,2915353,Itaguaçu da Bahia,33.963,65.868,
BA,2915403,Itaju do Colônia,48.507,92.84,
BA,2915502,Itajuípe,73.905,97.825,
BA,2915601,Itamaraju,114.908,143.187,
BA,2915700,Itamari,76.419,98.883,
BA,2915809,Itambé,72.625,77.363,
BA,2915908,Itanagra,49.796,72.598,
BA,2916005,Itanhém,95.067,119.666,
BA,2916104,Itaparica,72.494,131.241,
BA,2916203,Itapé,42.216,78.828,
BA,2916302,Itapebi,59.671,88.006,
BA,2916401,Itapetinga,120.439,160.316,
BA,2916500,Itapicuru,58.807,62.827,
BA,2916609,Itapitanga,71.13,83.117,
BA,2916708,Itaquara,52.146,82.856,
BA,2916807,Itarantim,52.336,98.76,
BA,2916856,Itatim,58.243,91.282,
BA,2916906,Itiruçu,62.578,111.093,
BA,2917003,Itiúba,61.249,68.602,
BA,2917102,Itororó,70.776,108.952,
BA,2917201,Ituaçu,71.306,115.319,
BA,2917300,Ituberá,60.545,95.048,
BA,2917334,Iuiú,65.331,73.754,
BA,2917359,Jaborandi,54.145,62.525,
BA,2917409,Jacaraci,55.386,88.6,
BA,2917508,Jacobina,105.746,147.381,
BA,2917607,Jaguaquara,75.959,114.635,
BA,2917706,Jaguarari,70.685,108.572,
BA,2917805,Jaguaripe,65.901,73.079,
BA,2917904,Jandaíra,50.818,58.68,
BA,2918001,Jequié,103.66,140.052,
BA,2918100,Jeremoabo,69.1,79.837,
BA,2918209,Jiquiriçá,59.448,91.502,
BA,2918308,Jitaúna,54.281,70.56,
BA,2918357,João Dourado,65.714,98.322,
BA,2918407,Juazeiro,110.052,175.148,
BA,2918456,Jucuruçu,46.318,81.789,
BA,2918506,Jussara,57.361,75.317,
BA,2918555,Jussari,51.81,89.269,
BA,2918605,Jussiape,77.3,98.44,
BA,2918704,Lafaiete Coutinho,41.038,80.692,
BA,2918753,Lagoa Real,44.461,60.603,
BA,2918803,Laje,75.868,98.553,
BA,2918902,Lajedão,129.227,148.21,
BA,2919009,Lajedinho,41.117,59.603,
BA,2919058,Lajedo do Tabocal,52.245,88.362,
BA,2919108,Lamarão,43.704,78.011,
BA,2919157,Lapão,66.209,102.064,
BA,2919207,Lauro de Freitas,222.205,322.425,
BA,2919306,Lençóis,78.954,119.899,
BA,2919405,Licínio de Almeida,74.469,114.612,
BA,2919504,Livramento de Nossa Senhora,80.353,114.103,
BA,2919553,Luís Eduardo Magalhães,,,
BA,2919603,Macajuba,47.539,63.427,
BA,2919702,Macarani,66.427,93.746,
BA,2919801,Macaúbas,50.025,76.302,
BA,2919900,Macururé,39.805,67.299,
BA,2919926,Madre de Deus,114.167,164.294,
BA,2919959,Maetinga,47.348,61.074,
BA,2920007,Maiquinique,56.35,97.983,
BA,2920106,Mairi,61.341,75.457,
BA,2920205,Malhada,40.278,60.15,
BA,2920304,Malhada de Pedras,69.454,75.049,
BA,2920403,Manoel Vitorino,43.101,67.003,
BA,2920452,Mansidão,39.727,46.98,
BA,2920502,Maracás,62.082,73.491,
BA,2920601,Maragogipe,65.706,82.69,
BA,2920700,Maraú,59.181,95.382,
BA,2920809,Marcionílio Souza,46.293,81.821,
BA,2920908,Mascote,51.047,72.969,
BA,2921005,Mata de São João,91.295,128.106,
BA,2921054,Matina,39.01,47.997,
BA,2921104,Medeiros Neto,106.862,141.024,
BA,2921203,Miguel Calmon,66.462,88.279,
BA,2921302,Milagres,70.412,100.549,
BA,2921401,Mirangaba,44.886,62.421,
BA,2921450,Mirante,66.369,56.641,
BA,2921500,Monte Santo,47.943,47.338,
BA,2921609,Morpará,52.527,79.932,
BA,2921708,Morro do Chapéu,68.973,106.797,
BA,2921807,Mortugaba,55.26,87.5,
BA,2921906,Mucugê,69.017,80.037,
BA,2922003,Mucuri,105.909,176.649,
BA,2922052,Mulungu do Morro,51.407,51.992,
BA,2922102,Mundo Novo,58.123,86.637,
BA,2922201,Muniz Ferreira,57.831,88.677,
BA,2922250,Muquém de São Francisco,40.212,74.093,
BA,2922300,Muritiba,76.732,116.381,
BA,2922409,Mutuípe,59.722,170.776,
BA,2922508,Nazaré,84.464,107.844,
BA,2922607,Nilo Peçanha,59.099,72.373,
BA,2922656,Nordestina,39.857,58.919,
BA,2922706,Nova Canaã,65.277,81.767,
BA,2922730,Nova Fátima,118.995,111.351,
BA,2922755,Nova Ibiá,59.168,79.865,
BA,2922805,Nova Itarana,46.88,72.819,
BA,2922854,Nova Redenção,49.889,74.789,
BA,2922904,Nova Soure,62.903,72.9,
BA,2923001,Nova Viçosa,105.908,125.743,
BA,2923035,Novo Horizonte,71.287,98.499,
BA,2923050,Novo Triunfo,38.819,61.902,
BA,2923100,Olindina,53.4,86.107,
BA,2923209,Oliveira dos Brejinhos,43.196,68.118,
BA,2923308,Ouriçangas,60.154,71.645,
BA,2923357,Ourolândia,53.292,67.528,
BA,2923407,Palmas de Monte Alto,64.442,106.669,
BA,2923506,Palmeiras,77.866,113.07,
BA,2923605,Paramirim,51.144,89.277,
BA,2923704,Paratinga,39.283,49.114,
BA,2923803,Paripiranga,93.843,93.942,
BA,2923902,Pau Brasil,65.728,93.152,
BA,2924009,Paulo Afonso,145.037,170.054,
BA,2924058,Pé de Serra,43.469,67.583,
BA,2924108,Pedrão,57.034,62.158,
BA,2924207,Pedro Alexandre,46.85,52.054,
BA,2924306,Piatã,46.03,73.375,
BA,2924405,Pilão Arcado,30.217,46.381,
BA,2924504,Pindaí,54.652,79.94,
BA,2924603,Pindobaçu,48.125,78.294,
BA,2924652,Pintadas,61.606,83.047,
BA,2924678,Piraí do Norte,57.885,60.824,
BA,2924702,Piripá,63.811,74.158,
BA,2924801,Piritiba,55.809,89.443,
BA,2924900,Planaltino,51.298,73.92,
BA,2925006,Planalto,56.22,91.664,
BA,2925105,Poções,71.1,104.152,
BA,2925204,Pojuca,122.428,137.964,
BA,2925253,Ponto Novo,37.009,59.793,
BA,2925303,Porto Seguro,113.8,192.778,
BA,2925402,Potiraguá,60.807,66.765,
BA,2925501,Prado,67.354,155.926,
BA,2925600,Presidente Dutra,64.374,91.399,
BA,2925709,Presidente Jânio Quadros,51.134,69.049,
BA,2925758,Presidente Tancredo Neves,44.739,82.292,
BA,2925808,Queimadas,51.98,80.703,
BA,2925907,Quijingue,38.64,55.085,
BA,2925931,Quixabeira,52.202,67.266,
BA,2925956,Rafael Jambeiro,55.999,57.683,
BA,2926004,Remanso,61.652,96.923,
BA,2926103,Retirolândia,52.606,104.813,
BA,2926202,Riachão das Neves,53.745,56.579,
BA,2926301,Riachão do Jacuípe,76.241,103.959,
BA,2926400,Riacho de Santana,51.192,70.273,
BA,2926509,Ribeira do Amparo,43.303,64.642,
BA,2926608,Ribeira do Pombal,86.484,108.587,
BA,2926657,Ribeirão do Largo,58.831,75.712,
BA,2926707,Rio de Contas,64.503,97.78,
BA,2926806,Rio do Antônio,53.988,69.569,
BA,2926905,Rio do Pires,64.487,100.925,
BA,2927002,Rio Real,88.513,96.183,
BA,2927101,Rodelas,144.29,123.836,
BA,2927200,Ruy Barbosa,90.108,85.884,
BA,2927309,Salinas da Margarida,63.913,82.348,
BA,2927408,Salvador,289.295,341.321,
BA,2927507,Santa Bárbara,61.952,76.042,
BA,2927606,Santa Brígida,51.678,52.114,
BA,2927705,Santa Cruz Cabrália,95.25,164.494,
BA,2927804,Santa Cruz da Vitória,56.427,80.205,
BA,2927903,Santa Inês,55.349,100.695,
BA,2928000,Santaluz,72.406,116.115,
BA,2928059,Santa Luzia,62.454,70.211,
BA,2928109,Santa Maria da Vitória,78.068,96.422,
BA,2928208,Santana,81.151,97.984,
BA,2928307,Santanópolis,47.322,67.243,
BA,2928406,Santa Rita de Cássia,47.786,74.698,
BA,2928505,Santa Teresinha,58.008,73.175,
BA,2928604,Santo Amaro,98.206,122.739,
BA,2928703,Santo Antônio de Jesus,115.143,157.408,
BA,2928802,Santo Estêvão,80.164,90.087,
BA,2928901,São Desidério,66.047,82.367,
BA,2928950,São Domingos,62.596,89.519,
BA,2929008,São Félix,76.417,110.784,
BA,2929057,São Félix do Coribe,69.188,102.284,
BA,2929107,São Felipe,62.116,101.682,
BA,2929206,São Francisco do Conde,101.649,133.069,
BA,2929255,São Gabriel,40.978,105.9,
BA,2929305,São Gonçalo dos Campos,72.775,112.579,
BA,2929354,São José da Vitória,45.184,74.711,
BA,2929370,São José do Jacuípe,59.04,71.132,
BA,2929404,São Miguel das Matas,70.214,99.154,
BA,2929503,São Sebastião do Passé,110.161,125.46,
BA,2929602,Sapeaçu,68.625,97.593,
BA,2929701,Sátiro Dias,48.067,50.458,
BA,2929750,Saubara,71.222,110.633,
BA,2929800,Saúde,51.034,79.776,
BA,2929909,Seabra,70.169,110.76,
BA,2930006,Sebastião Laranjeiras,87.252,86.903,
BA,2930105,Senhor do Bonfim,93.109,168.893,
BA,2930154,Serra do Ramalho,37.591,60.481,
BA,2930204,Sento Sé,75.891,71.779,
BA,2930303,Serra Dourada,43.605,75.82,
BA,2930402,Serra Preta,49.188,72.093,
BA,2930501,Serrinha,76.335,103.098,
BA,2930600,Serrolândia,55.822,84.958,
BA,2930709,Simões Filho,115.949,149.035,
BA,2930758,Sítio do Mato,47.344,51.913,
BA,2930766,Sítio do Quinto,86.439,100.421,
BA,2930774,Sobradinho,123.148,135.52,
BA,2930808,Souto Soares,41.444,76.206,
BA,2930907,Tabocas do Brejo Velho,40.303,67.01,
BA,2931004,Tanhaçu,65.5,118.87,
BA,2931053,Tanque Novo,59.511,71.88,
BA,2931103,Tanquinho,64.928,108.952,
BA,2931202,Taperoá,48.747,77.326,
BA,2931301,Tapiramutá,50.88,82.143,
BA,2931350,Teixeira de Freitas,141.467,198.556,
BA,2931400,Teodoro Sampaio,81.231,85.767,
BA,2931509,Teofilândia,64.594,85.995,
BA,2931608,Teolândia,67.214,60.584,
BA,2931707,Terra Nova,57.717,83.719,
