Capital Humano
Sigla,Código,Município,1991,2000,
AM,1303007,Nhamundá,380769.939429559,673201.783449389,
AM,1303106,Nova Olinda do Norte,352190.228513921,887138.047680582,
AM,1303205,Novo Airão,393034.464314185,414503.660795499,
AM,1303304,Novo Aripuanã,289611.51010533,690096.991879918,
AM,1303403,Parintins,2203571.64317828,4403632.57686551,
AM,1303502,Pauini,373514.443265809,559594.708000209,
AM,1303536,Presidente Figueiredo,326509.075366929,978577.701297262,
AM,1303569,Rio Preto da Eva,225857.641607823,839908.503998772,
AM,1303601,Santa Isabel do Rio Negro,428703.440365079,398138.929576926,
AM,1303700,Santo Antônio do Içá,452202.320601856,923098.865958296,
AM,1303809,São Gabriel da Cachoeira,813681.406167872,1398918.24618796,
AM,1303908,São Paulo de Olivença,373191.478069265,795859.676234186,
AM,1303957,São Sebastião do Uatumã,149212.580394782,319789.844984535,
AM,1304005,Silves,174601.586600471,334935.41691193,
AM,1304062,Tabatinga,990429.508806218,1886000.46436725,
AM,1304104,Tapauá,505355.561551906,619977.086257375,
AM,1304203,Tefé,1800134.44377964,2909099.86767353,
AM,1304237,Tonantins,278063.710925451,510226.139433054,
AM,1304260,Uarini,130138.750777888,351723.784588164,
AM,1304302,Urucará,383171.919918183,879688.087038028,
AM,1304401,Urucurituba,467462.513506269,479676.238351359,
AP,1600055,Serra do Navio,,203760.837839771,
AP,1600105,Amapá,227462.995949549,343346.164492777,
AP,1600154,Pedra Branca do Amaparí,,175055.52667562,
AP,1600204,Calçoene,150807.092704807,319991.804903993,
AP,1600212,Cutias,,150675.974588876,
AP,1600238,Ferreira Gomes,67638.9679324525,189244.435068917,
AP,1600253,Itaubal,,117358.098461495,
AP,1600279,Laranjal do Jari,669211.915543354,1491162.10406175,
AP,1600303,Macapá,9455106.54099205,21890896.737999,
AP,1600402,Mazagão,223989.730875809,497317.165375912,
AP,1600501,Oiapoque,261234.28456972,639797.279372704,
AP,1600535,Porto Grande,,603926.395967827,
AP,1600550,Pracuúba,,97119.498595707,
AP,1600600,Santana,1950041.87457993,5067678.72067921,
AP,1600709,Tartarugalzinho,107370.325533991,280096.993341697,
AP,1600808,Vitória do Jari,,365936.759805533,
BA,2900108,Abaíra,277077.172224762,450892.609635203,
BA,2900207,Abaré,374520.813648223,609302.840897603,
BA,2900306,Acajutiba,407556.693952947,653433.346900043,
BA,2900355,Adustina,313037.098785878,523313.318749345,
BA,2900405,Água Fria,316931.15772916,545711.663214748,
BA,2900504,Érico Cardoso,214756.933412749,446773.98832587,
BA,2900603,Aiquara,170391.960820532,250754.551740343,
BA,2900702,Alagoinhas,5933966.45885543,9305242.1087,
BA,2900801,Alcobaça,436937.003820474,973514.870241111,
BA,2900900,Almadina,258019.280888748,339846.509046721,
BA,2901007,Amargosa,997743.043957568,1608176.13483096,
BA,2901106,Amélia Rodrigues,949613.249646116,1475667.16059338,
BA,2901155,América Dourada,449959.417484873,658204.836016154,
BA,2901205,Anagé,1034216.02189173,1147149.55595846,
BA,2901304,Andaraí,359151.668366134,574414.970839028,
BA,2901353,Andorinha,444534.111477843,653829.623455388,
BA,2901403,Angical,436418.702335194,622302.345518759,
BA,2901502,Anguera,235934.1493932,431320.768938018,
BA,2901601,Antas,496585.76247216,655852.848832962,
BA,2901700,Antônio Cardoso,289144.753134553,483338.102000191,
BA,2901809,Antônio Gonçalves,407549.088962038,460486.087157596,
BA,2901908,Aporá,427944.774600597,643945.597255746,
BA,2901957,Apuarema,178706.081941731,300847.816854702,
BA,2902005,Aracatu,417040.682084973,659483.017383464,
BA,2902054,Araças,220316.635891533,477312.206996521,
BA,2902104,Araci,1169310.29739494,1712519.93544662,
BA,2902203,Aramari,257912.845982455,440832.6372833,
BA,2902252,Arataca,328932.165299006,455324.722759211,
BA,2902302,Aratuípe,222748.669631295,371734.218019643,
BA,2902401,Aurelino Leal,452911.203697801,689545.110960453,
BA,2902500,Baianópolis,350226.948829587,512991.280739478,
BA,2902609,Baixa Grande,582122.439614626,878434.685579308,
BA,2902658,Banzaê,280857.481443217,462406.54496426,
BA,2902708,Barra,1171092.49595008,1721721.24137653,
BA,2902807,Barra da Estiva,441489.299846363,1021576.37184751,
BA,2902906,Barra do Choça,607456.071325561,1651416.02702802,
BA,2903003,Barra do Mendes,486020.346927833,682665.956974072,
BA,2903102,Barra do Rocha,241836.107840696,362413.253666545,
BA,2903201,Barreiras,4053447.48174432,8735537.06524584,
BA,2903235,Barro Alto,331239.741512573,526951.822544484,
BA,2903276,Barrocas,,,
BA,2903300,Governador Lomanto Júnior,305531.852047613,421202.703731869,
BA,2903409,Belmonte,622373.53749593,910752.588331195,
BA,2903508,Belo Campo,363055.579184571,748892.323855902,
BA,2903607,Biritinga,388001.773270426,595970.946156605,
BA,2903706,Boa Nova,301025.898776612,696589.376586414,
BA,2903805,Boa Vista do Tupim,393724.667643758,733971.190413064,
BA,2903904,Bom Jesus da Lapa,1764125.61097421,2862797.49835889,
BA,2903953,Bom Jesus da Serra,226862.447128771,403471.404123733,
BA,2904001,Boninal,375616.207753408,536965.683890879,
BA,2904050,Bonito,281173.69677441,455685.52053444,
BA,2904100,Boquira,588746.030266733,1017142.36429566,
BA,2904209,Botuporã,278867.477399073,489071.609058548,
BA,2904308,Brejões,354166.279164788,694032.379631491,
BA,2904407,Brejolândia,337203.783739982,410717.504652711,
BA,2904506,Brotas de Macaúbas,404478.859559855,545737.208160635,
BA,2904605,Brumado,2248243.8587876,3568114.22723865,
BA,2904704,Buerarema,674625.682708915,900258.3301967,
BA,2904753,Buritirama,260132.581044719,696716.620164928,
BA,2904803,Caatiba,251314.228174127,676691.586578867,
BA,2904852,Cabaceiras do Paraguaçu,350697.884486211,586942.892491426,
BA,2904902,Cachoeira,1195231.98179434,1897434.77567218,
BA,2905008,Caculé,652518.198167527,1042458.4952982,
BA,2905107,Caém,525088.437914503,559558.655427703,
BA,2905156,Caetanos,237249.75589935,494625.304323484,
BA,2905206,Caetité,1345857.86135355,2325773.06956186,
BA,2905305,Cafarnaum,404195.478454399,676071.004438027,
BA,2905404,Cairu,461204.028596401,524608.136810177,
BA,2905503,Caldeirão Grande,456521.853510731,474060.696762291,
BA,2905602,Camacan,1116405.72310394,1503784.05386009,
BA,2905701,Camaçari,5073729.72832823,10597065.4128634,
BA,2905800,Camamu,845637.811740706,1367813.98488044,
BA,2905909,Campo Alegre de Lourdes,660782.971416039,1011764.312432,
BA,2906006,Campo Formoso,1734906.48202202,2801139.98901141,
BA,2906105,Canápolis,265393.62281595,417777.089788636,
BA,2906204,Canarana,669740.097995314,921467.99120141,
BA,2906303,Canavieiras,1068724.04234157,1648294.25556859,
BA,2906402,Candeal,359617.670993323,503914.662672479,
BA,2906501,Candeias,2917406.45464702,5011315.36622944,
BA,2906600,Candiba,406719.607622281,591814.136694447,
BA,2906709,Cândido Sales,671332.144431695,1312531.00692196,
BA,2906808,Cansanção,785542.756912307,1171788.25173554,
BA,2906824,Canudos,402839.678340619,606602.914317661,
BA,2906857,Capela do Alto Alegre,534493.331723173,521378.371320701,
BA,2906873,Capim Grosso,603190.665069539,1084933.79558001,
BA,2906899,Caraíbas,375278.067939737,642711.592988388,
BA,2906907,Caravelas,560220.120365693,975903.294186563,
BA,2907004,Cardeal da Silva,166457.402113818,328649.949139036,
BA,2907103,Carinhanha,698770.142507188,1165219.45348579,
BA,2907202,Casa Nova,1397976.74388907,2388313.87671536,
BA,2907301,Castro Alves,857141.576486129,1211574.46646989,
BA,2907400,Catolândia,92550.3081619548,146549.032687468,
BA,2907509,Catu,1782937.82511024,3076676.88951594,
BA,2907558,Caturama,243717.397715265,405049.046779487,
BA,2907608,Central,551160.227950613,865807.95720323,
BA,2907707,Chorrochó,305389.778610647,464256.775156389,
BA,2907806,Cícero Dantas,835037.095103528,1335954.56579678,
BA,2907905,Cipó,422072.292962556,634691.845186385,
BA,2908002,Coaraci,1148522.60375682,1456875.95016872,
BA,2908101,Cocos,407147.530754746,722210.788872864,
BA,2908200,Conceição da Feira,570464.190840725,1045891.60014985,
BA,2908309,Conceição do Almeida,637692.374325336,954091.201176616,
BA,2908408,Conceição do Coité,1602066.47618402,2732294.64411568,
BA,2908507,Conceição do Jacuípe,943298.488891213,1597277.68482966,
BA,2908606,Conde,433442.877853786,818552.452348182,
BA,2908705,Condeúba,464561.242953783,725037.328978006,
BA,2908804,Contendas do Sincorá,149881.057332852,200167.540291629,
BA,2908903,Coração de Maria,693146.215185336,1139905.145706,
BA,2909000,Cordeiros,262271.154983206,340618.886077091,
BA,2909109,Coribe,448783.071166505,664884.550285222,
BA,2909208,Coronel João Sá,355977.913465541,686385.419696866,
BA,2909307,Correntina,801357.584689446,1470859.90802054,
